address_id,address,address2,district,city_id,postal_code,phone,last_update
1,47 MySakila Drive,\N,Alberta,300,,,2014-09-25 22:30:27
2,28 MySQL Boulevard,\N,QLD,576,,,2014-09-25 22:30:09
3,23 Workhaven Lane,\N,Alberta,300,,14033335568,2014-09-25 22:30:27
4,1411 Lillydale Drive,\N,QLD,576,,6172235589,2014-09-25 22:30:09
5,1913 Hanoi Way,,Nagasaki,463,35200,28303384290,2014-09-25 22:31:53
9,53 Idfu Parkway,,Nantou,361,42399,10655648674,2014-09-25 22:33:16
12,478 Joliet Way,,Hamilton,200,77948,657282285970,2014-09-25 22:32:22
14,1531 Sal Drive,,Esfahan,162,53628,648856936185,2014-09-25 22:31:36
18,770 Bydgoszcz Avenue,,California,120,16266,517338314235,2014-09-25 22:33:47
22,320 Brest Avenue,,Kaduna,252,43331,747791594069,2014-09-25 22:32:25
28,96 Tafuna Way,,Crdoba,128,99865,934730187245,2014-09-25 22:30:05
29,934 San Felipe de Puerto Plata Street,,Sind,472,99780,196495945706,2014-09-25 22:32:31
36,176 Mandaluyong Place,,Uttar Pradesh,239,65213,627705991774,2014-09-25 22:31:17
38,61 Tama Street,,Okayama,284,94065,708403338270,2014-09-25 22:31:49
42,269 Cam Ranh Parkway,,Chisinau,115,34689,489783829737,2014-09-25 22:32:15
43,306 Antofagasta Place,,Esprito Santo,569,3989,378318851631,2014-09-25 22:30:23
48,1998 Halifax Drive,,Lipetsk,308,76022,177727722820,2014-09-25 22:32:54
49,1718 Valencia Street,,Antofagasta,27,37359,675292816413,2014-09-25 22:30:29
50,46 Pjatigorsk Lane,,Moscow (City),343,23616,262076994845,2014-09-25 22:32:55
53,725 Isesaki Place,,Mekka,237,74428,876295323994,2014-09-25 22:33:00
54,115 Hidalgo Parkway,,Khartum,379,80168,307703950263,2014-09-25 22:33:11
58,1964 Allappuzha (Alleppey) Street,,Yamaguchi,227,48980,920811325222,2014-09-25 22:31:47
59,1697 Kowloon and New Kowloon Loop,,Moskova,49,57807,499352017190,2014-09-25 22:32:47
61,943 Tokat Street,,Vaduz,560,45428,889318963672,2014-09-25 22:31:58
69,698 Otsu Street,,Cayenne,105,71110,409983924481,2014-09-25 22:31:02
70,1150 Kimchon Manor,,Skne ln,321,96109,663449333709,2014-09-25 22:33:11
76,89 Allappuzha (Alleppey) Manor,,National Capital Reg,517,75444,255800440636,2014-09-25 22:32:39
77,1947 Poos de Caldas Boulevard,,Chiayi,114,60951,427454485876,2014-09-25 22:33:14
79,1551 Rampur Lane,,Changhwa,108,72394,251164340471,2014-09-25 22:33:14
85,320 Baiyin Parkway,,Mahajanga,319,37307,223664661973,2014-09-25 22:31:59
86,927 Baha Blanca Parkway,,Krim,479,9495,821972242086,2014-09-25 22:33:33
91,1740 Portoviejo Avenue,,Sucre,480,29932,198123170793,2014-09-25 22:30:53
93,1926 El Alto Avenue,,Buenos Aires,289,75543,846225459260,2014-09-25 22:30:05
96,984 Effon-Alaiye Avenue,,Gois,183,17119,132986892228,2014-09-25 22:30:17
97,832 Nakhon Sawan Manor,,Inner Mongolia,592,49021,275595571388,2014-09-25 22:30:50
100,1308 Arecibo Way,,Georgia,41,30695,6171054059,2014-09-25 22:33:43
104,1913 Kamakura Place,,Lipetsk,238,97287,942570536750,2014-09-25 22:32:49
110,1867 San Juan Bautista Tuxtepec Avenue,,Ivanovo,225,78311,547003310357,2014-09-25 22:32:48
112,1002 Ahmadnagar Manor,,Mxico,213,93026,371490777743,2014-09-25 22:32:07
115,1378 Alvorada Avenue,,Distrito Federal,102,75834,272234298332,2014-09-25 22:34:03
120,544 Malm Parkway,,Central Java,403,63502,386759646229,2014-09-25 22:31:34
124,241 Mosul Lane,,Risaralda,147,76157,765345144779,2014-09-25 22:30:52
131,801 Hagonoy Drive,,Smolensk,484,8439,237426099212,2014-09-25 22:32:57
143,1029 Dzerzinsk Manor,,Ynlin,542,57519,33173584456,2014-09-25 22:33:16
145,928 Jaffna Loop,,Hiroshima,172,93762,581852137991,2014-09-25 22:31:45
148,1027 Songkhla Manor,,Minsk,340,30861,563660187896,2014-09-25 22:30:13
149,999 Sanaa Loop,,Gauteng,491,3439,918032330119,2014-09-25 22:33:05
151,1337 Lincoln Parkway,,Saitama,555,99457,597815221267,2014-09-25 22:31:55
152,1952 Pune Lane,,Saint-Denis,442,92150,354615066969,2014-09-25 22:32:46
154,781 Shimonoseki Drive,,Michoacn de Ocampo,202,95444,632316273199,2014-09-25 22:32:06
155,1560 Jelets Boulevard,,Shandong,291,77777,189446090264,2014-09-25 22:30:38
158,798 Cianjur Avenue,,Shanxi,590,76990,499408708580,2014-09-25 22:30:49
162,369 Papeete Way,,North Carolina,187,66639,170117068815,2014-09-25 22:33:52
165,97 Shimoga Avenue,,Tel Aviv,533,44660,177167004331,2014-09-25 22:31:41
170,710 San Felipe del Progreso Avenue,,Lilongwe,304,76901,843801144113,2014-09-25 22:31:59
174,1877 Ezhou Lane,,Rajasthan,550,63337,264541743403,2014-09-25 22:31:28
182,1891 Rizhao Boulevard,,So Paulo,456,47288,391065549876,2014-09-25 22:30:21
184,1410 Benin City Parkway,,Risaralda,405,29747,104150372603,2014-09-25 22:30:52
187,1839 Szkesfehrvr Parkway,,Gois,317,55709,947468818183,2014-09-25 22:30:20
188,741 Ambattur Manor,,Noord-Brabant,438,43310,302590383819,2014-09-25 22:32:21
197,447 Surakarta Loop,,Nyanza,271,10428,940830176580,2014-09-25 22:31:56
201,817 Bradford Loop,,Jiangsu,109,89459,264286442804,2014-09-25 22:30:31
206,642 Nador Drive,,Maharashtra,77,3924,369050085652,2014-09-25 22:31:13
208,1215 Pyongyang Parkway,,Usak,557,25238,646237101779,2014-09-25 22:33:30
213,43 Dadu Avenue,,Rajasthan,74,4855,95666951770,2014-09-25 22:31:12
217,1001 Miyakonojo Lane,,Taizz,518,67924,584316724815,2014-09-25 22:34:11
218,226 Brest Manor,,California,508,2299,785881412500,2014-09-25 22:34:02
220,1201 Qomsheh Manor,,Gois,28,21464,873492228462,2014-09-25 22:30:15
228,60 Poos de Caldas Street,,Rajasthan,243,82338,963063788669,2014-09-25 22:31:18
230,201 Effon-Alaiye Way,,Asuncin,37,64344,684192903087,2014-09-25 22:32:31
243,47 Syktyvkar Lane,,West Java,118,22236,63937119031,2014-09-25 22:31:31
251,1473 Changhwa Parkway,,Mxico,124,75933,266798132374,2014-09-25 22:32:03
256,1497 Yuzhou Drive,,England,312,3433,246810237916,2014-09-25 22:33:37
264,1027 Banjul Place,,West Bengali,197,50390,538241037443,2014-09-25 22:31:16
266,862 Xintai Lane,,Cagayan Valley,548,30065,265153400632,2014-09-25 22:32:41
267,816 Cayenne Parkway,,Manab,414,93629,282874611748,2014-09-25 22:30:56
270,682 Halisahar Place,,Severn Morava,378,20536,475553436330,2014-09-25 22:30:54
271,1587 Loja Manor,,Salzburg,447,5410,621625204422,2014-09-25 22:30:10
273,1519 Ilorin Place,,Kerala,395,49298,357445645426,2014-09-25 22:31:21
274,920 Kumbakonam Loop,,California,446,75090,685010736240,2014-09-25 22:34:00
